Variable,A-10,A-5,A0,A5,A10,A15,B-10,B-5,B5,B10
CL0,0.3647,0.3647,0.3647,0.3647,0.3647,0.3647,0.3647,0.3647,0.3647,0.3647
CM0,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031
CD0,0.05917,0.05917,0.05917,0.05917,0.05917,0.05917,0.05917,0.05917,0.05917,0.05917
CDffd01,0,0,0,0,0,0,-9.50E-05,-4.80E-05,4.80E-05,9.50E-05
CDffd02,-0.00045,-0.00058,-0.000704,-0.000816,-0.000915,-0.000996,-0.000682,-0.000698,-0.000698,-0.000682
CDffd03,0,0,0,0,0,0,-0.000464,-0.000236,0.000236,0.000464
CLa,4.40298,4.474362,4.454873,4.344981,4.14969,3.878222,4.32602,4.422414,4.422414,4.32602
CLb,0,0,0,0,0,0,0.125626,0.063782,-0.063782,-0.125626
CLd01,0,0,0,0,0,0,5.00E-06,3.00E-06,-3.00E-06,-5.00E-06
CLd02,0.009704,0.009989,0.010079,0.00997,0.009668,0.009187,0.009775,0.010002,0.010002,0.009775
CLd03,0,0,0,0,0,0,0.000108,5.50E-05,-5.50E-05,-0.000108
CLp,0,0,0,0,0,0,-0.00503,-0.002524,0.002524,0.00503
CLq,8.014857,8.069309,8.073926,8.028567,7.934611,7.794912,7.951265,8.043203,8.043203,7.951265
CLr,0,0,0,0,0,0,-0.00569,-0.002856,0.002856,0.00569
CYa,0,0,0,0,0,0,0.023572,0.011968,-0.011968,-0.023572
CYb,-0.31781,-0.333105,-0.346246,-0.357133,-0.365681,-0.371828,-0.327621,-0.341555,-0.341555,-0.327621
CYd01,0.000252,0.000273,0.000289,0.000301,0.000307,0.000308,0.00028,0.000287,0.000287,0.00028
CYd02,0,0,0,0,0,0,0,0,0,0
CYd03,-0.003475,-0.003722,-0.003914,-0.004048,-0.004118,-0.004122,-0.003796,-0.003885,-0.003885,-0.003796
CYp,-0.170538,-0.040475,0.094319,0.22975,0.361702,0.486166,0.092886,0.09396,0.09396,0.092886
CYq,0,0,0,0,0,0,0.10874,0.054578,-0.054578,-0.10874
CYr,0.244742,0.283372,0.298829,0.290646,0.259069,0.205058,0.29429,0.297692,0.297692,0.29429
Cla,0,0,0,0,0,0,0.079278,0.040251,-0.040251,-0.079278
Clb,0.034002,-0.007658,-0.048795,-0.088159,-0.124555,-0.156876,-0.045852,-0.048053,-0.048053,-0.045852
Cld01,-0.00378,-0.003824,-0.003809,-0.003737,-0.003608,-0.003428,-0.003694,-0.00378,-0.00378,-0.003694
Cld02,0,0,0,0,0,0,9.70E-05,4.90E-05,-4.90E-05,-9.70E-05
Cld03,-0.000188,-0.000178,-0.000165,-0.00015,-0.000132,-0.000114,-0.00016,-0.000164,-0.000164,-0.00016
Clp,-0.399451,-0.401584,-0.397727,-0.388352,-0.374145,-0.355955,-0.391685,-0.396214,-0.396214,-0.391685
Clq,0,0,0,0,0,0,0.115555,0.057998,-0.057998,-0.115555
Clr,-0.0494,0.030002,0.107846,0.182826,0.253796,0.31982,0.106207,0.107435,0.107435,0.106207
Cma,-0.857638,-0.898242,-0.911552,-0.897166,-0.85552,-0.787879,-0.884066,-0.904628,-0.904628,-0.884066
Cmb,0,0,0,0,0,0,0.012359,0.006275,-0.006275,-0.012359
Cmd01,0,0,0,0,0,0,5.00E-06,2.00E-06,-2.00E-06,-5.00E-06
Cmd02,-0.021429,-0.021927,-0.022095,-0.021927,-0.021429,-0.020615,-0.021429,-0.021927,-0.021927,-0.021429
Cmd03,0,0,0,0,0,0,-0.000259,-0.000132,0.000132,0.000259
Cmp,0,0,0,0,0,0,0.015682,0.007871,-0.007871,-0.015682
Cmq,-8.648743,-8.748745,-8.782163,-8.748745,-8.648743,-8.482919,-8.648743,-8.748745,-8.748745,-8.648743
Cmr,0,0,0,0,0,0,-0.001622,-0.000814,0.000814,0.001622
Cna,0,0,0,0,0,0,-0.019954,-0.010131,0.010131,0.019954
Cnb,0.641726,0.257953,0.472604,0.498022,0.484106,0.451163,0.472604,0.472604,0.472604,0.472604
Cnd01,0.000272,0.000192,0.00011,2.90E-05,-5.00E-05,-0.000124,0.000107,0.00011,0.00011,0.000107
Cnd02,0,0,0,0,0,0,-3.00E-06,-1.00E-06,1.00E-06,3.00E-06
Cnd03,0.001615,0.001737,0.001833,0.001902,0.001941,0.001949,0.001778,0.00182,0.00182,0.001778
Cnp,0.046783,0.009567,-0.029051,-0.069492,-0.112021,-0.156713,-0.02861,-0.028941,-0.028941,-0.02861
Cnq,0,0,0,0,0,0,-0.054804,-0.027506,0.027506,0.054804
Cnr,-0.116362,-0.125497,-0.136611,-0.149176,-0.162482,-0.175687,-0.134535,-0.136091,-0.136091,-0.134535
Xnp,0.18681,0.189316,0.19094,0.191723,0.191589,0.190325,0.190831,0.190913,0.190913,0.190831
